s,a,r,sp
152,0,-1,0
0,1,-10,2
174,1,0,178
178,0,1,1
1,1,10,2
138,1,0,145
145,0,1,0
0,0,-10,2
181,0,1,1
1,0,10,2
29,1,0,35
35,0,1,1
1,0,10,2
180,0,1,1
1,0,10,2
31,1,0,32
32,0,0,0
0,0,-10,2
44,0,-1,0
0,1,-10,2
19,1,-1,20
20,0,1,0
0,1,-10,2
181,0,1,0
0,1,-10,2
141,0,0,1
1,1,10,2
166,1,1,170
170,1,1,175
175,1,0,0
0,0,-10,2
174,0,0,1
1,0,10,2
92,0,1,1
1,1,10,2
121,0,0,1
1,1,10,2
31,0,0,0
0,0,-10,2
36,1,-1,0
0,1,-10,2
84,0,0,0
0,0,-10,2
165,0,-1,0
0,0,-10,2
144,0,1,1
1,0,10,2
175,0,0,1
1,0,10,2
13,0,0,0
0,1,-10,2
116,1,1,126
126,0,1,0
0,1,-10,2
110,0,1,1
1,0,10,2
124,0,1,0
0,1,-10,2
49,1,0,54
54,1,-1,0
0,0,-10,2
146,1,-1,138
138,1,0,142
142,1,-1,0
0,0,-10,2
173,1,0,178
178,0,1,1
1,0,10,2
173,0,0,1
1,0,10,2
38,0,1,1
1,1,10,2
175,0,0,1
1,1,10,2
174,0,0,0
0,0,-10,2
35,1,-1,0
0,1,-10,2
179,0,1,0
0,1,-10,2
45,1,1,54
54,0,1,0
0,0,-10,2
161,0,1,0
0,0,-10,2
178,1,-1,0
0,0,-10,2
13,1,0,0
0,0,-10,2
156,1,0,0
0,0,-10,2
73,1,-1,0
0,0,-10,2
181,1,-1,174
174,0,0,0
0,0,-10,2
81,1,1,90
90,1,-1,0
0,1,-10,2
179,0,1,0
0,0,-10,2
37,0,1,0
0,1,-10,2
179,0,1,1
1,0,10,2
31,0,0,1
1,0,10,2
53,0,1,0
0,0,-10,2
121,0,0,1
1,1,10,2
174,1,0,181
181,0,1,1
1,0,10,2
31,0,0,0
0,1,-10,2
27,1,1,34
34,0,1,1
1,0,10,2
145,1,-1,0
0,1,-10,2
113,1,1,123
123,0,0,0
0,0,-10,2
168,0,-1,0
0,0,-10,2
34,0,1,0
0,0,-10,2
177,0,0,1
1,1,10,2
171,1,1,173
173,0,0,0
0,1,-10,2
67,1,0,74
74,1,-1,0
0,1,-10,2
61,0,-1,1
1,0,10,2
30,1,0,33
33,1,0,34
34,1,-1,37
37,1,-1,0
0,0,-10,2
35,0,1,0
0,1,-10,2
174,1,0,179
179,1,-1,182
182,1,-1,0
0,1,-10,2
120,1,0,0
0,1,-10,2
167,0,-1,0
0,0,-10,2
104,0,0,0
0,0,-10,2
99,0,-1,1
1,0,10,2
177,0,0,0
0,1,-10,2
120,0,0,1
1,1,10,2
139,1,0,141
141,1,0,143
143,1,-1,0
0,1,-10,2
172,0,-1,0
0,1,-10,2
176,1,0,177
177,1,0,0
0,1,-10,2
136,1,1,141
141,0,0,0
0,0,-10,2
112,1,1,122
122,1,0,0
0,1,-10,2
133,1,1,141
141,0,0,0
0,0,-10,2
179,0,1,0
0,0,-10,2
175,1,0,0
0,0,-10,2
175,1,0,179
179,1,-1,0
0,0,-10,2
179,1,-1,179
179,1,-1,180
180,0,1,1
1,0,10,2
40,0,-1,1
1,0,10,2
178,1,-1,181
181,0,1,1
1,0,10,2
182,0,1,1
1,1,10,2
169,0,-1,0
0,0,-10,2
171,1,1,180
180,0,1,1
1,1,10,2
178,1,-1,179
179,0,1,0
0,1,-10,2
84,1,0,90
90,0,1,1
1,1,10,2
120,1,0,128
128,0,1,1
1,0,10,2
171,0,-1,0
0,1,-10,2
169,0,-1,0
0,1,-10,2
179,1,-1,0
0,1,-10,2
140,1,0,0
0,1,-10,2
160,1,-1,0
0,0,-10,2
171,0,-1,0
0,0,-10,2
171,0,-1,0
0,0,-10,2
176,0,0,0
0,0,-10,2
169,1,1,179
179,0,1,0
0,1,-10,2
82,1,1,85
85,0,0,1
1,0,10,2
174,0,0,0
0,1,-10,2
176,1,0,175
175,1,0,182
182,1,-1,0
0,1,-10,2
87,0,0,1
1,0,10,2
15,1,0,0
0,0,-10,2
109,1,-1,0
0,1,-10,2
31,1,0,0
0,0,-10,2
16,1,-1,0
0,0,-10,2
10,1,1,14
14,1,0,0
0,0,-10,2
68,0,0,0
0,1,-10,2
38,1,-1,37
37,1,-1,0
0,1,-10,2
85,0,0,0
0,0,-10,2
176,0,0,0
0,1,-10,2
176,1,0,177
177,1,0,179
179,0,1,0
0,0,-10,2
68,0,0,0
0,1,-10,2
123,0,0,0
0,1,-10,2
66,0,0,0
0,1,-10,2
117,1,1,127
127,1,-1,128
128,0,1,1
1,0,10,2
174,0,0,0
0,1,-10,2
142,0,1,0
0,1,-10,2
27,0,-1,0
0,0,-10,2
109,0,1,1
1,1,10,2
146,0,1,1
1,0,10,2
106,0,1,0
0,0,-10,2
55,1,-1,0
0,0,-10,2
176,1,0,174
174,1,0,0
0,1,-10,2
126,0,1,1
1,0,10,2
36,1,-1,0
0,1,-10,2
145,1,-1,145
145,0,1,1
1,1,10,2
182,1,-1,174
174,1,0,0
0,1,-10,2
178,0,1,1
1,0,10,2
53,0,1,0
0,0,-10,2
175,0,0,0
0,0,-10,2
166,0,-1,0
0,1,-10,2
80,0,-1,1
1,0,10,2
178,1,-1,0
0,1,-10,2
174,1,0,0
0,0,-10,2
123,0,0,0
0,0,-10,2
56,1,-1,51
51,1,0,55
55,1,-1,0
0,0,-10,2
6,1,1,14
14,1,0,0
0,0,-10,2
179,1,-1,0
0,1,-10,2
14,0,0,1
1,1,10,2
156,0,0,1
1,1,10,2
51,0,0,0
0,1,-10,2
175,0,0,0
0,0,-10,2
173,1,0,0
0,0,-10,2
143,1,-1,137
137,0,0,0
0,0,-10,2
159,1,0,164
164,0,1,1
1,1,10,2
166,1,1,175
175,0,0,1
1,0,10,2
52,0,1,1
1,0,10,2
179,0,1,0
0,1,-10,2
10,0,-1,0
0,1,-10,2
144,1,-1,0
0,0,-10,2
88,0,1,1
1,1,10,2
69,0,0,0
0,0,-10,2
88,0,1,0
0,1,-10,2
173,0,0,0
0,0,-10,2
141,0,0,0
0,0,-10,2
173,1,0,178
178,0,1,1
1,1,10,2
179,1,-1,0
0,0,-10,2
74,1,-1,69
69,0,0,0
0,1,-10,2
123,0,0,0
0,1,-10,2
48,0,0,0
0,1,-10,2
174,1,0,176
176,1,0,0
0,0,-10,2
167,1,1,172
172,1,1,176
176,1,0,0
0,0,-10,2
86,1,0,87
87,0,0,0
0,1,-10,2
96,1,1,98
98,1,1,105
105,1,0,0
0,0,-10,2
152,0,-1,0
0,1,-10,2
175,0,0,0
0,0,-10,2
37,0,1,1
1,0,10,2
182,1,-1,175
175,0,0,0
0,1,-10,2
25,0,-1,0
0,0,-10,2
19,0,1,1
1,1,10,2
96,1,1,99
99,1,1,110
110,1,-1,103
103,1,0,0
0,1,-10,2
31,0,0,0
0,0,-10,2
166,0,-1,0
0,1,-10,2
124,1,-1,0
0,0,-10,2
159,1,0,0
0,0,-10,2
179,1,-1,0
0,0,-10,2
33,1,0,35
35,1,-1,0
0,0,-10,2
73,1,-1,0
0,0,-10,2
163,0,1,0
0,1,-10,2
70,1,-1,0
0,0,-10,2
181,1,-1,0
0,0,-10,2
175,1,0,180
180,0,1,1
1,1,10,2
52,0,1,1
1,0,10,2
129,0,-1,0
0,0,-10,2
18,1,-1,20
20,0,1,1
1,0,10,2
122,1,0,128
128,1,-1,0
0,0,-10,2
33,0,0,1
1,0,10,2
27,0,-1,0
0,0,-10,2
173,1,0,181
181,0,1,0
0,0,-10,2
62,0,-1,1
1,0,10,2
51,1,0,0
0,1,-10,2
102,0,0,0
0,0,-10,2
182,1,-1,180
180,0,1,0
0,1,-10,2
37,1,-1,0
0,1,-10,2
173,0,0,0
0,1,-10,2
101,0,0,1
1,1,10,2
180,0,1,1
1,0,10,2
14,1,0,16
16,0,1,0
0,0,-10,2
174,0,0,0
0,0,-10,2
49,1,0,55
55,0,1,1
1,1,10,2
80,0,-1,1
1,1,10,2
113,0,-1,0
0,0,-10,2
13,1,0,14
14,1,0,16
16,1,-1,20
20,1,-1,0
0,1,-10,2
154,1,1,156
156,0,0,0
0,0,-10,2
176,1,0,0
0,1,-10,2
169,0,-1,0
0,1,-10,2
181,1,-1,0
0,0,-10,2
12,0,0,0
0,0,-10,2
52,0,1,0
0,1,-10,2
76,1,1,79
79,0,-1,1
1,1,10,2
122,1,0,0
0,1,-10,2
33,1,0,0
0,1,-10,2
55,1,-1,0
0,0,-10,2
73,0,1,1
1,0,10,2
32,0,0,0
0,0,-10,2
181,0,1,0
0,1,-10,2
68,0,0,1
1,0,10,2
17,0,1,0
0,0,-10,2
33,1,0,33
33,0,0,0
0,0,-10,2
119,0,0,1
1,1,10,2
14,0,0,0
0,0,-10,2
181,1,-1,0
0,0,-10,2
68,1,0,0
0,0,-10,2
107,0,1,0
0,0,-10,2
138,1,0,144
144,1,-1,0
0,1,-10,2
18,1,-1,0
0,1,-10,2
52,0,1,0
0,1,-10,2
35,0,1,0
0,0,-10,2
83,1,0,85
85,0,0,1
1,1,10,2
44,0,-1,0
0,0,-10,2
181,1,-1,0
0,0,-10,2
140,0,0,1
1,0,10,2
149,1,1,156
156,1,0,0
0,0,-10,2
121,0,0,1
1,0,10,2
162,0,1,1
1,1,10,2
173,1,0,181
181,0,1,1
1,0,10,2
181,1,-1,175
175,0,0,0
0,0,-10,2
96,1,1,98
98,0,-1,0
0,1,-10,2
109,0,1,1
1,0,10,2
90,0,1,1
1,1,10,2
14,1,0,19
19,1,-1,0
0,0,-10,2
178,1,-1,0
0,0,-10,2
179,1,-1,181
181,1,-1,0
0,0,-10,2
10,1,1,19
19,1,-1,0
0,0,-10,2
161,0,1,1
1,0,10,2
179,0,1,0
0,0,-10,2
152,1,1,162
162,1,-1,164
164,1,-1,0
0,1,-10,2
140,1,0,143
143,0,1,0
0,0,-10,2
174,0,0,0
0,1,-10,2
153,0,-1,0
0,1,-10,2
17,0,1,0
0,1,-10,2
175,1,0,175
175,1,0,179
179,0,1,0
0,1,-10,2
179,0,1,0
0,0,-10,2
153,0,-1,0
0,1,-10,2
159,1,0,0
0,1,-10,2
115,0,-1,1
1,1,10,2
34,1,-1,0
0,0,-10,2
11,0,0,0
0,1,-10,2
137,1,0,0
0,1,-10,2
177,1,0,0
0,1,-10,2
120,1,0,128
128,0,1,1
1,1,10,2
177,1,0,180
180,1,-1,182
182,1,-1,0
0,1,-10,2
130,0,-1,0
0,0,-10,2
176,1,0,180
180,1,-1,180
180,0,1,1
1,0,10,2
128,1,-1,128
128,0,1,1
1,1,10,2
141,1,0,146
146,1,-1,145
145,1,-1,0
0,1,-10,2
177,1,0,0
0,1,-10,2
175,0,0,1
1,1,10,2
102,0,0,1
1,0,10,2
33,1,0,0
0,1,-10,2
88,0,1,0
0,0,-10,2
165,1,1,167
167,0,-1,0
0,1,-10,2
176,1,0,182
182,1,-1,179
179,1,-1,0
0,0,-10,2
24,1,1,31
31,1,0,0
0,0,-10,2
117,1,1,124
124,0,1,0
0,1,-10,2
83,1,0,92
92,1,-1,0
0,1,-10,2
104,1,0,0
0,1,-10,2
23,0,-1,1
1,0,10,2
31,0,0,0
0,1,-10,2
142,1,-1,143
143,1,-1,0
0,0,-10,2
101,0,0,0
0,1,-10,2
181,0,1,0
0,0,-10,2
53,1,-1,53
53,1,-1,0
0,0,-10,2
85,0,0,0
0,1,-10,2
101,1,0,107
107,1,-1,108
108,1,-1,0
0,0,-10,2
161,1,-1,0
0,0,-10,2
31,1,0,38
38,0,1,1
1,0,10,2
146,1,-1,139
139,0,0,1
1,0,10,2
172,1,1,181
181,0,1,0
0,0,-10,2
20,0,1,1
1,0,10,2
29,0,0,0
0,0,-10,2
164,1,-1,164
164,0,1,1
1,0,10,2
107,0,1,1
1,0,10,2
74,0,1,1
1,0,10,2
173,0,0,0
0,1,-10,2
87,1,0,91
91,1,-1,0
0,0,-10,2
4,1,1,13
13,1,0,15
15,0,0,1
1,0,10,2
84,0,0,1
1,1,10,2
172,0,-1,0
0,0,-10,2
102,1,0,104
104,1,0,108
108,0,1,0
0,1,-10,2
91,0,1,1
1,1,10,2
176,1,0,0
0,1,-10,2
16,0,1,1
1,0,10,2
173,0,0,0
0,0,-10,2
145,1,-1,141
141,0,0,0
0,0,-10,2
31,1,0,38
38,0,1,1
1,0,10,2
49,1,0,0
0,0,-10,2
36,1,-1,31
31,0,0,0
0,1,-10,2
155,0,0,0
0,1,-10,2
157,1,0,164
164,0,1,1
1,1,10,2
83,1,0,0
0,1,-10,2
13,1,0,0
0,0,-10,2
106,0,1,0
0,0,-10,2
44,1,1,51
51,1,0,56
56,1,-1,0
0,1,-10,2
12,1,0,18
18,0,1,0
0,1,-10,2
102,0,0,1
1,1,10,2
105,1,0,0
0,0,-10,2
37,1,-1,0
0,1,-10,2
38,1,-1,29
29,1,0,36
36,0,1,1
1,0,10,2
108,1,-1,0
0,1,-10,2
110,0,1,1
1,1,10,2
37,0,1,1
1,1,10,2
181,1,-1,176
176,0,0,0
0,1,-10,2
178,0,1,0
0,0,-10,2
174,1,0,179
179,0,1,1
1,1,10,2
50,1,0,55
55,0,1,1
1,0,10,2
74,1,-1,74
74,0,1,1
1,1,10,2
65,0,0,1
1,1,10,2
43,1,1,53
53,0,1,0
0,1,-10,2
88,0,1,1
1,0,10,2
166,1,1,175
175,1,0,178
178,1,-1,0
0,0,-10,2
180,1,-1,0
0,0,-10,2
92,1,-1,89
89,0,1,1
1,1,10,2
177,1,0,182
182,1,-1,180
180,0,1,1
1,1,10,2
173,0,0,0
0,0,-10,2
102,0,0,0
0,0,-10,2
128,0,1,1
1,1,10,2
91,1,-1,0
0,0,-10,2
68,1,0,0
0,0,-10,2
178,1,-1,0
0,0,-10,2
179,1,-1,173
173,1,0,182
182,0,1,1
1,1,10,2
17,0,1,1
1,1,10,2
11,1,0,0
0,1,-10,2
169,1,1,179
179,1,-1,0
0,1,-10,2
123,0,0,0
0,1,-10,2
177,0,0,0
0,0,-10,2
18,0,1,0
0,1,-10,2
109,0,1,1
1,1,10,2
42,0,-1,1
1,0,10,2
176,1,0,0
0,1,-10,2
137,0,0,0
0,0,-10,2
119,1,0,127
127,1,-1,0
0,1,-10,2
74,0,1,1
1,0,10,2
64,1,1,70
70,0,1,0
0,1,-10,2
173,1,0,0
0,0,-10,2
72,1,-1,65
65,1,0,0
0,1,-10,2
31,0,0,0
0,0,-10,2
63,0,-1,0
0,0,-10,2
155,1,0,161
161,1,-1,164
164,0,1,1
1,0,10,2
173,1,0,0
0,0,-10,2
173,1,0,181
181,1,-1,0
0,0,-10,2
140,0,0,0
0,1,-10,2
50,0,0,0
0,1,-10,2
174,0,0,0
0,1,-10,2
45,0,-1,1
1,0,10,2
136,0,-1,0
0,0,-10,2
173,0,0,0
0,1,-10,2
108,1,-1,0
0,0,-10,2
175,1,0,178
178,0,1,0
0,1,-10,2
123,1,0,123
123,1,0,0
0,0,-10,2
67,1,0,0
0,1,-10,2
175,0,0,0
0,0,-10,2
171,1,1,175
175,1,0,0
0,1,-10,2
37,1,-1,0
0,0,-10,2
177,1,0,175
175,1,0,181
181,1,-1,0
0,1,-10,2
147,1,1,155
155,0,0,0
0,1,-10,2
66,0,0,1
1,1,10,2
157,1,0,161
161,1,-1,0
0,0,-10,2
14,1,0,19
19,0,1,1
1,0,10,2
173,1,0,174
174,1,0,175
175,1,0,0
0,0,-10,2
177,1,0,0
0,1,-10,2
182,0,1,0
0,0,-10,2
33,1,0,35
35,1,-1,0
0,1,-10,2
8,0,-1,0
0,0,-10,2
127,0,1,1
1,0,10,2
19,0,1,1
1,0,10,2
14,1,0,16
16,1,-1,17
17,1,-1,17
17,1,-1,0
0,0,-10,2
137,0,0,0
0,1,-10,2
168,0,-1,0
0,1,-10,2
32,1,0,32
32,0,0,1
1,1,10,2
112,1,1,121
121,0,0,0
0,0,-10,2
69,1,0,72
72,1,-1,0
0,0,-10,2
157,1,0,0
0,0,-10,2
96,0,-1,0
0,0,-10,2
162,1,-1,0
0,0,-10,2
122,1,0,119
119,0,0,1
1,1,10,2
11,0,0,0
0,0,-10,2
45,0,-1,0
0,1,-10,2
84,0,0,1
1,1,10,2
177,0,0,0
0,0,-10,2
124,1,-1,0
0,1,-10,2
166,0,-1,0
0,0,-10,2
170,1,1,181
181,1,-1,174
174,1,0,181
181,0,1,1
1,1,10,2
84,0,0,1
1,1,10,2
172,1,1,174
174,0,0,0
0,1,-10,2
102,0,0,0
0,1,-10,2
63,1,1,66
66,1,0,69
69,0,0,1
1,0,10,2
174,1,0,176
176,1,0,176
176,0,0,0
0,0,-10,2
177,0,0,1
1,1,10,2
48,0,0,0
0,1,-10,2
48,0,0,0
0,0,-10,2
172,1,1,173
173,1,0,180
180,0,1,0
0,0,-10,2
9,0,-1,0
0,0,-10,2
13,0,0,0
0,1,-10,2
13,1,0,15
15,0,0,0
0,0,-10,2
154,0,-1,1
1,0,10,2
177,1,0,0
0,1,-10,2
178,1,-1,181
181,1,-1,0
0,1,-10,2
30,0,0,1
1,0,10,2
177,1,0,179
179,0,1,0
0,1,-10,2
173,0,0,0
0,0,-10,2
176,1,0,0
0,1,-10,2
64,1,1,68
68,1,0,0
0,1,-10,2
137,0,0,0
0,0,-10,2
171,0,-1,0
0,1,-10,2
107,1,-1,107
107,1,-1,0
0,1,-10,2
15,0,0,0
0,0,-10,2
8,1,1,18
18,1,-1,0
0,0,-10,2
174,1,0,175
175,0,0,0
0,1,-10,2
9,1,1,19
19,1,-1,0
0,0,-10,2
34,1,-1,0
0,0,-10,2
170,0,-1,0
0,0,-10,2
141,0,0,1
1,1,10,2
109,0,1,0
0,1,-10,2
178,0,1,0
0,1,-10,2
179,1,-1,0
0,1,-10,2
79,0,-1,1
1,0,10,2
14,1,0,0
0,0,-10,2
176,1,0,175
175,0,0,1
1,1,10,2
141,0,0,0
0,0,-10,2
66,1,0,0
0,0,-10,2
171,0,-1,0
0,1,-10,2
171,0,-1,0
0,1,-10,2
28,0,-1,0
0,1,-10,2
157,1,0,162
162,0,1,0
0,0,-10,2
135,0,-1,0
0,1,-10,2
72,1,-1,0
0,1,-10,2
38,0,1,1
1,1,10,2
177,1,0,181
181,1,-1,0
0,1,-10,2
179,1,-1,0
0,0,-10,2
13,1,0,16
16,1,-1,0
0,1,-10,2
179,1,-1,0
0,0,-10,2
28,0,-1,1
1,1,10,2
168,1,1,178
178,1,-1,0
0,0,-10,2
123,1,0,121
121,1,0,0
0,1,-10,2
160,0,1,0
0,1,-10,2
69,0,0,1
1,0,10,2
74,1,-1,74
74,1,-1,0
0,0,-10,2
180,0,1,0
0,0,-10,2
107,1,-1,110
110,1,-1,0
0,1,-10,2
81,0,-1,1
1,1,10,2
146,1,-1,144
144,1,-1,0
0,0,-10,2
181,0,1,1
1,1,10,2
179,0,1,0
0,1,-10,2
172,0,-1,1
1,0,10,2
170,0,-1,1
1,1,10,2
19,1,-1,0
0,0,-10,2
175,1,0,176
176,0,0,0
0,0,-10,2
62,1,1,72
72,0,1,0
0,0,-10,2
53,1,-1,0
0,1,-10,2
181,1,-1,0
0,1,-10,2
74,0,1,0
0,0,-10,2
176,0,0,0
0,1,-10,2
138,1,0,0
0,0,-10,2
176,1,0,0
0,1,-10,2
46,0,-1,0
0,0,-10,2
172,1,1,179
179,1,-1,0
0,0,-10,2
178,0,1,0
0,0,-10,2
118,0,-1,1
1,0,10,2
90,0,1,1
1,1,10,2
90,0,1,0
0,1,-10,2
175,1,0,180
180,1,-1,182
182,1,-1,0
0,0,-10,2
31,0,0,0
0,0,-10,2
145,0,1,1
1,1,10,2
181,1,-1,0
0,0,-10,2
102,0,0,1
1,1,10,2
175,0,0,1
1,1,10,2
181,1,-1,182
182,1,-1,0
0,1,-10,2
29,0,0,0
0,1,-10,2
69,0,0,1
1,0,10,2
59,0,-1,0
0,0,-10,2
28,1,1,38
38,0,1,1
1,0,10,2
31,1,0,33
33,1,0,0
0,1,-10,2
55,0,1,1
1,0,10,2
173,0,0,1
1,0,10,2
171,1,1,174
174,1,0,0
0,0,-10,2
146,0,1,1
1,1,10,2
104,0,0,0
0,1,-10,2
126,0,1,0
0,1,-10,2
181,1,-1,0
0,0,-10,2
33,1,0,0
0,0,-10,2
107,0,1,0
0,0,-10,2
159,1,0,0
0,0,-10,2
173,0,0,0
0,0,-10,2
91,0,1,1
1,0,10,2
25,1,1,36
36,0,1,0
0,1,-10,2
174,0,0,0
0,1,-10,2
4,0,-1,0
0,1,-10,2
64,0,-1,0
0,1,-10,2
176,0,0,1
1,1,10,2
158,0,0,0
0,1,-10,2
175,0,0,0
0,0,-10,2
176,1,0,177
177,0,0,1
1,1,10,2
148,1,1,150
150,0,-1,1
1,0,10,2
160,0,1,0
0,1,-10,2
79,1,1,86
86,0,0,1
1,0,10,2
159,1,0,163
163,0,1,1
1,0,10,2
182,0,1,1
1,1,10,2
79,1,1,89
89,0,1,1
1,0,10,2
123,1,0,0
0,0,-10,2
9,0,-1,0
0,0,-10,2
30,1,0,0
0,1,-10,2
146,0,1,1
1,0,10,2
104,0,0,1
1,1,10,2
16,0,1,1
1,0,10,2
163,0,1,1
1,0,10,2
163,1,-1,0
0,0,-10,2
17,1,-1,0
0,1,-10,2
166,1,1,176
176,0,0,0
0,1,-10,2
174,1,0,179
179,1,-1,0
0,1,-10,2
82,1,1,86
86,1,0,90
90,1,-1,92
92,1,-1,0
0,1,-10,2
178,1,-1,0
0,0,-10,2
173,1,0,176
176,0,0,1
1,0,10,2
88,1,-1,84
84,0,0,0
0,0,-10,2
177,0,0,0
0,1,-10,2
65,0,0,0
0,0,-10,2
173,0,0,0
0,1,-10,2
66,1,0,70
70,1,-1,67
67,0,0,1
1,0,10,2
50,1,0,0
0,0,-10,2
146,0,1,1
1,1,10,2
120,0,0,1
1,1,10,2
175,1,0,182
182,1,-1,0
0,1,-10,2
22,0,-1,0
0,0,-10,2
30,0,0,0
0,0,-10,2
87,1,0,89
89,0,1,1
1,1,10,2
65,1,0,66
66,1,0,71
71,0,1,1
1,0,10,2
11,0,0,0
0,0,-10,2
49,1,0,56
56,1,-1,0
0,0,-10,2
15,0,0,0
0,1,-10,2
177,1,0,0
0,1,-10,2
175,0,0,0
0,0,-10,2
27,1,1,34
34,1,-1,0
0,0,-10,2
133,1,1,135
135,1,1,146
146,0,1,1
1,1,10,2
101,1,0,106
106,0,1,0
0,1,-10,2
168,0,-1,1
1,1,10,2
174,1,0,0
0,1,-10,2
115,1,1,125
125,1,-1,0
0,1,-10,2
177,0,0,0
0,0,-10,2
32,1,0,0
0,1,-10,2
56,0,1,0
0,1,-10,2
178,0,1,1
1,0,10,2
127,1,-1,0
0,1,-10,2
44,0,-1,1
1,0,10,2
37,0,1,1
1,0,10,2
146,1,-1,138
138,0,0,0
0,1,-10,2
59,0,-1,1
1,0,10,2
49,1,0,55
55,0,1,1
1,1,10,2
174,0,0,0
0,1,-10,2
173,1,0,180
180,1,-1,182
182,1,-1,0
0,1,-10,2
15,1,0,18
18,1,-1,14
14,1,0,0
0,0,-10,2
145,0,1,1
1,1,10,2
178,1,-1,0
0,1,-10,2
175,0,0,0
0,0,-10,2
56,1,-1,50
50,0,0,0
0,1,-10,2
179,0,1,0
0,1,-10,2
86,0,0,1
1,0,10,2
173,0,0,0
0,0,-10,2
88,0,1,0
0,0,-10,2
10,1,1,20
20,1,-1,0
0,1,-10,2
182,0,1,1
1,1,10,2
177,1,0,182
182,1,-1,179
179,1,-1,0
0,1,-10,2
145,0,1,1
1,1,10,2
173,1,0,182
182,1,-1,0
0,1,-10,2
157,1,0,163
163,1,-1,0
0,1,-10,2
31,0,0,0
0,0,-10,2
32,1,0,38
38,0,1,1
1,1,10,2
98,1,1,108
108,0,1,1
1,1,10,2
181,1,-1,0
0,1,-10,2
163,0,1,1
1,0,10,2
174,1,0,178
178,1,-1,0
0,0,-10,2
182,0,1,1
1,0,10,2
47,0,0,0
0,1,-10,2
177,1,0,0
0,1,-10,2
172,1,1,182
182,1,-1,0
0,1,-10,2
176,0,0,0
0,0,-10,2
124,1,-1,127
127,0,1,1
1,1,10,2
175,1,0,0
0,1,-10,2
170,1,1,179
179,0,1,0
0,1,-10,2
166,0,-1,0
0,1,-10,2
121,0,0,0
0,1,-10,2
20,1,-1,17
17,0,1,1
1,0,10,2
92,1,-1,89
89,0,1,0
0,0,-10,2
143,1,-1,0
0,1,-10,2
64,0,-1,0
0,1,-10,2
128,0,1,1
1,1,10,2
179,1,-1,0
0,0,-10,2
68,0,0,0
0,0,-10,2
178,0,1,0
0,0,-10,2
5,0,-1,0
0,1,-10,2
37,1,-1,0
0,0,-10,2
172,1,1,182
182,0,1,1
1,1,10,2
19,1,-1,19
19,0,1,0
0,1,-10,2
121,1,0,0
0,0,-10,2
180,1,-1,0
0,0,-10,2
179,1,-1,0
0,1,-10,2
14,1,0,18
18,1,-1,18
18,0,1,0
0,1,-10,2
16,0,1,0
0,1,-10,2
174,0,0,0
0,0,-10,2
27,0,-1,0
0,0,-10,2
65,0,0,0
0,1,-10,2
105,1,0,0
0,1,-10,2
49,0,0,0
0,1,-10,2
148,0,-1,1
1,1,10,2
173,1,0,182
182,0,1,1
1,1,10,2
174,1,0,176
176,0,0,0
0,1,-10,2
130,1,1,133
133,1,1,135
135,0,-1,1
1,0,10,2
163,1,-1,0
0,1,-10,2
142,0,1,0
0,1,-10,2
179,1,-1,0
0,1,-10,2
127,0,1,1
1,1,10,2
85,1,0,89
89,1,-1,0
0,0,-10,2
84,1,0,87
87,1,0,91
91,0,1,1
1,1,10,2
92,0,1,1
1,0,10,2
51,1,0,54
54,1,-1,0
0,1,-10,2
104,0,0,0
0,0,-10,2
100,0,-1,0
0,1,-10,2
117,0,-1,0
0,1,-10,2
170,1,1,180
180,1,-1,0
0,1,-10,2
176,0,0,0
0,1,-10,2
32,0,0,1
1,1,10,2
50,1,0,53
53,1,-1,0
0,1,-10,2
182,1,-1,182
182,1,-1,0
0,0,-10,2
146,0,1,1
1,0,10,2
143,0,1,1
1,1,10,2
36,1,-1,0
0,1,-10,2
74,1,-1,71
71,0,1,1
1,0,10,2
173,1,0,174
174,1,0,0
0,0,-10,2
162,0,1,1
1,1,10,2
178,0,1,1
1,1,10,2
116,1,1,126
126,1,-1,0
0,1,-10,2
122,0,0,0
0,0,-10,2
109,0,1,0
0,0,-10,2
103,0,0,0
0,1,-10,2
47,1,0,0
0,0,-10,2
120,1,0,120
120,0,0,1
1,0,10,2
182,1,-1,182
182,1,-1,0
0,1,-10,2
78,0,-1,0
0,0,-10,2
156,0,0,1
1,0,10,2
28,0,-1,0
0,1,-10,2
173,1,0,0
0,1,-10,2
26,0,-1,0
0,1,-10,2
173,1,0,174
174,0,0,0
0,0,-10,2
182,1,-1,174
174,0,0,0
0,0,-10,2
139,0,0,0
0,1,-10,2
169,0,-1,0
0,0,-10,2
141,0,0,1
1,1,10,2
140,1,0,141
141,1,0,0
0,0,-10,2
44,1,1,50
50,1,0,0
0,0,-10,2
69,0,0,1
1,0,10,2
14,1,0,14
14,1,0,0
0,0,-10,2
176,1,0,177
177,1,0,0
0,0,-10,2
175,1,0,182
182,1,-1,0
0,0,-10,2
144,0,1,1
1,0,10,2
145,0,1,1
1,1,10,2
56,0,1,1
1,0,10,2
11,0,0,0
0,0,-10,2
109,1,-1,0
0,1,-10,2
179,1,-1,0
0,1,-10,2
180,0,1,0
0,0,-10,2
24,1,1,26
26,0,-1,0
0,1,-10,2
59,0,-1,1
1,0,10,2
173,0,0,0
0,0,-10,2
119,0,0,0
0,1,-10,2
8,0,-1,1
1,1,10,2
155,0,0,0
0,1,-10,2
36,0,1,1
1,1,10,2
103,1,0,0
0,1,-10,2
121,0,0,1
