s,a,r,sp
0,1,-10,2
31,0,0,1
1,0,10,2
84,0,0,0
0,0,-10,2
141,0,0,0
0,0,-10,2
181,0,1,1
1,0,10,2
177,0,0,0
0,1,-10,2
173,1,0,0
0,1,-10,2
180,1,-1,0
0,0,-10,2
12,0,0,1
1,1,10,2
173,1,0,173
173,1,0,181
181,0,1,1
1,1,10,2
161,0,1,1
1,1,10,2
9,0,-1,0
0,1,-10,2
109,1,-1,109
109,0,1,1
1,0,10,2
116,1,1,126
126,0,1,1
1,0,10,2
98,0,-1,1
1,1,10,2
175,1,0,0
0,0,-10,2
62,0,-1,0
0,1,-10,2
125,0,1,1
1,0,10,2
179,0,1,1
1,1,10,2
98,0,-1,1
1,0,10,2
162,0,1,1
1,0,10,2
69,1,0,0
0,0,-10,2
9,1,1,15
15,1,0,16
16,1,-1,0
0,0,-10,2
175,1,0,0
0,0,-10,2
160,0,1,0
0,1,-10,2
35,1,-1,37
37,1,-1,0
0,1,-10,2
143,0,1,0
0,0,-10,2
142,1,-1,0
0,1,-10,2
13,1,0,0
0,1,-10,2
180,0,1,1
1,1,10,2
176,1,0,0
0,0,-10,2
181,0,1,0
0,1,-10,2
60,1,1,70
70,1,-1,72
72,0,1,1
1,0,10,2
98,0,-1,0
0,0,-10,2
31,0,0,0
0,1,-10,2
12,1,0,13
13,0,0,0
0,0,-10,2
176,0,0,0
0,1,-10,2
176,0,0,0
0,1,-10,2
177,1,0,0
0,1,-10,2
122,0,0,1
1,0,10,2
138,1,0,145
145,0,1,1
1,0,10,2
51,1,0,0
0,1,-10,2
179,0,1,0
0,1,-10,2
180,0,1,0
0,0,-10,2
82,1,1,84
84,0,0,1
1,1,10,2
180,1,-1,0
0,0,-10,2
97,1,1,106
106,0,1,0
0,1,-10,2
121,1,0,126
126,1,-1,0
0,1,-10,2
182,0,1,1
1,1,10,2
91,1,-1,91
91,1,-1,0
0,0,-10,2
139,1,0,0
0,1,-10,2
37,0,1,1
1,0,10,2
67,0,0,0
0,0,-10,2
151,1,1,153
153,0,-1,1
1,0,10,2
12,1,0,19
19,1,-1,0
0,0,-10,2
159,0,0,0
0,1,-10,2
82,1,1,84
84,1,0,88
88,0,1,0
0,1,-10,2
52,0,1,0
0,1,-10,2
178,0,1,0
0,1,-10,2
158,0,0,0
0,0,-10,2
159,0,0,0
0,1,-10,2
31,1,0,33
33,0,0,1
1,1,10,2
137,1,0,142
142,0,1,0
0,0,-10,2
172,1,1,173
173,1,0,0
0,0,-10,2
180,1,-1,0
0,1,-10,2
71,1,-1,0
0,1,-10,2
166,1,1,176
176,0,0,0
0,0,-10,2
65,0,0,0
0,1,-10,2
91,1,-1,0
0,1,-10,2
175,1,0,180
180,0,1,0
0,1,-10,2
176,1,0,180
180,1,-1,0
0,0,-10,2
11,0,0,1
1,0,10,2
170,0,-1,1
1,0,10,2
173,1,0,174
174,1,0,0
0,1,-10,2
120,0,0,0
0,1,-10,2
176,1,0,178
178,1,-1,180
180,1,-1,179
179,1,-1,182
182,0,1,1
1,0,10,2
175,1,0,0
0,1,-10,2
53,1,-1,0
0,0,-10,2
160,0,1,0
0,1,-10,2
176,0,0,0
0,0,-10,2
27,0,-1,0
0,1,-10,2
159,1,0,0
0,0,-10,2
72,0,1,0
0,0,-10,2
178,0,1,0
0,0,-10,2
137,1,0,0
0,1,-10,2
144,1,-1,0
0,1,-10,2
67,1,0,0
0,1,-10,2
169,1,1,173
173,1,0,0
0,0,-10,2
132,0,-1,0
0,0,-10,2
176,0,0,0
0,0,-10,2
178,1,-1,0
0,0,-10,2
119,1,0,123
123,1,0,0
0,0,-10,2
14,0,0,0
0,0,-10,2
162,1,-1,0
0,0,-10,2
119,0,0,0
0,1,-10,2
174,1,0,176
176,0,0,0
0,0,-10,2
84,0,0,0
0,1,-10,2
54,1,-1,0
0,0,-10,2
84,0,0,1
1,1,10,2
146,0,1,1
1,1,10,2
174,1,0,182
182,1,-1,0
0,1,-10,2
180,1,-1,0
0,0,-10,2
175,1,0,176
176,0,0,0
0,0,-10,2
180,0,1,0
0,0,-10,2
91,1,-1,0
0,0,-10,2
173,0,0,0
0,1,-10,2
176,1,0,181
181,1,-1,180
180,1,-1,0
0,1,-10,2
110,0,1,1
1,0,10,2
52,0,1,1
1,1,10,2
122,1,0,0
0,0,-10,2
120,0,0,1
1,1,10,2
51,1,0,0
0,0,-10,2
176,0,0,0
0,0,-10,2
175,1,0,0
0,0,-10,2
104,1,0,106
106,0,1,0
0,1,-10,2
65,0,0,0
0,1,-10,2
31,1,0,33
33,0,0,1
1,0,10,2
12,1,0,12
12,0,0,1
1,0,10,2
66,0,0,1
1,0,10,2
140,0,0,0
0,0,-10,2
11,1,0,20
20,1,-1,0
0,1,-10,2
171,0,-1,0
0,1,-10,2
7,1,1,17
17,0,1,0
0,0,-10,2
17,0,1,0
0,1,-10,2
182,0,1,1
1,1,10,2
128,1,-1,120
120,0,0,0
0,1,-10,2
163,0,1,1
1,1,10,2
66,0,0,0
0,1,-10,2
174,0,0,0
0,1,-10,2
169,0,-1,0
0,0,-10,2
172,0,-1,0
0,1,-10,2
178,1,-1,0
0,1,-10,2
33,1,0,36
36,1,-1,0
0,1,-10,2
145,1,-1,0
0,0,-10,2
32,0,0,1
1,0,10,2
47,1,0,49
49,1,0,50
50,0,0,0
0,0,-10,2
127,1,-1,0
0,0,-10,2
174,0,0,0
0,0,-10,2
53,0,1,0
0,1,-10,2
65,0,0,0
0,0,-10,2
178,1,-1,0
0,0,-10,2
107,1,-1,109
109,0,1,0
0,1,-10,2
101,1,0,0
0,0,-10,2
70,0,1,1
1,0,10,2
119,0,0,1
1,1,10,2
18,0,1,0
0,0,-10,2
120,0,0,0
0,1,-10,2
40,0,-1,0
0,0,-10,2
55,1,-1,0
0,1,-10,2
88,0,1,1
1,0,10,2
174,1,0,0
0,0,-10,2
170,1,1,180
180,0,1,0
0,0,-10,2
6,0,-1,1
1,1,10,2
171,0,-1,0
0,0,-10,2
158,0,0,1
1,1,10,2
135,1,1,143
143,1,-1,0
0,1,-10,2
55,0,1,1
1,1,10,2
106,1,-1,108
108,1,-1,0
0,0,-10,2
174,0,0,0
0,0,-10,2
92,1,-1,90
90,0,1,1
1,1,10,2
157,1,0,0
0,1,-10,2
19,0,1,0
0,1,-10,2
125,1,-1,0
0,0,-10,2
170,1,1,180
180,0,1,1
1,0,10,2
121,0,0,1
1,1,10,2
83,1,0,84
84,0,0,0
0,1,-10,2
137,1,0,138
138,0,0,0
0,1,-10,2
178,1,-1,174
174,0,0,0
0,1,-10,2
3,0,-1,0
0,1,-10,2
48,1,0,48
48,0,0,0
0,1,-10,2
100,1,1,110
110,1,-1,0
0,1,-10,2
156,0,0,1
